clause_text,clause_type,risk_level,predicted_risk,correct
"If the Parties fail to reach agreement within ninety (90) days after the start of such negotiations, which shall be evidenced by  written notice from one Party to the other initiating such negotiations, each Party shall have the non-exclusive right to use and commercially  exploit JOINT INTELLECTUAL PROPERTY for any and all purposes, with the right to grant sublicenses, subject to the obligations of the first  sentence of Article 14.3, provided that no licenses on any transgenes or transgenic technologies of the other Party shall be included or implied.",License Grant,high,Medium,False
"Upon termination of this Agreement,",Post-Termination Services,high,Medium,False
"Licensor on behalf of itself and its Affliates hereby grants to Licensee the limited licenses to use and have used the Licensed Mark: (i) for the Licensed Products as set forth on Schedule 2; and (ii) as set forth on Schedule 1, concerning agreements entered into by Licensee prior to the Effective Date (""Existing Agreements""). For the avoidance of doubt, Licensor also grants to Licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the Licensed Mark for the production and sale of inventory containing the Licensed Mark applied to such products during the Transition Period as set forth in section 8.2 of the Separation and Distribution Agreement and in Schedule 2 of this Agreement.",Affiliate License-Licensor,high,Medium,False
"(If exclusive agreement, add ""Developer expressly acknowledges that the exclusive rights granted herein apply only to the right to develop new restaurants in the Territory, and no exclusive territory or radius protection for the term of any Franchise Agreement is granted herein and any such protection shall be set forth in the particular Franchise Agreement to be signed."")",Exclusivity,high,Medium,False
"Such option shall be exercisable during a period (the           ""Option Period"") commencing on and including the earlier of (i) the           date upon which Licensee shall have paid to Licensor, in any single           fiscal year of Licensee, royalty payments hereunder in the aggregate           amount of $10,000,000 or (ii) January 1, 2002, and ending upon the           expiration or sooner termination of this Agreement.",Rofr/Rofo/Rofn,high,Medium,False
"after Nantz Communications has received notice of such merger or consolidation if and only if, by virtue of such merger or consolidation Nantz Communications or Nantz would be in default under or violating any provisions of any agreement to which he or it is subject entered into prior to June 1, 1994.",Change Of Control,high,Medium,False
"During the term of this Agreement, XENCOR hereby grants to BII and BII hereby accepts for the purpose of pursuing the Project a non-exclusive, non-sub-licensable (except to Affiliated Companies), royalty-free, license to use the XENCOR Confidential Information and Know-How, the Material, the XENCOR Intellectual Property and/or any part of the Other Improvements for the sole purpose to develop the Process, and for the manufacturing of the Product for clinical purposes in accordance with this Agreement.",Non-Transferable License,high,Medium,False
"Neither the Company nor any of its Affiliates shall in any manner, directly or indirectly, in any capacity or manner, make or cause to be made, or in any way encourage any other person to make or cause to be made, any public statement or public announcement, including in any document or report filed with or furnished to the SEC or through the press, media, analysts or other persons, that constitutes an ad hominem attack on or otherwise disparages, defames or slanders the Farids Group or any of its Affiliates or any of their respective successors or current or former members, partners, officers, directors or employees (it being understood and agreed that the restrictions in this Section 8.8(a) shall not apply to any member of the Board of Directors based upon discussions solely among other members of the Board of Directors and/or management of the Company); provided, that the limitations set forth in this Section 8.8(a) shall not prevent the Company or any of its Affiliates from (i) responding to any public statement or announcement made by the Farids Group or any of its Affiliates that was made in breach of Section 8.8(b) below or (ii) if solicited by a Third Party, making objective statements that reflect the Company's view with respect to factual matters concerning specific acts or determinations of the Farids Group or any of its Affiliates (or their respective current or former representatives) occurring after the date hereof.",Non-Disparagement,high,Medium,False
"This Agreement can be terminated at any time prior to the expiry of the Term, as follows:",Change Of Control,high,Medium,False
"In case of termination of the Agreement, NLS and Eurofarma shall immediately work on a transition out plan, with activities and timelines agreed by the Parties to ensure a proper handover of the Licensed Product so that its market position and the obligations to prescribers, patients and regulatory authorities are fulfilled in accordance with Eurofarma best practices.",Post-Termination Services,high,Medium,False
"EXCEPT FOR LIABILITY         ARISING UNDER SECTION 8 OF THIS AGREEMENT, IN NO EVENT SHALL EITHER         PARTY HAVE ANY LIABILITY TO THE OTHER PARTY FOR ANY LOST PROFITS OR         COSTS OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, OR FOR ANY         INDIRECT, SPECIAL OR CONSEQUENTIAL DAMAGES HOWEVER CAUSED AND UNDER ANY         THEORY OF LIABILITY AND WHETHER OR NOT SUCH PARTY HAS BEEN ADVISED OF         THE POSSIBILITY OF SUCH DAMAGE.",Cap On Liability,high,High,True
"Except as otherwise expressly provided under this Agreement, neither Party may assign or otherwise transfer this Agreement or any right or obligation hereunder (whether voluntarily, by operation of law or otherwise), without the prior express written consent of the other Party; except however, that either Party shall be permitted to effect such an assignment or transfer without the consent of the other Party to (a) any of its Affiliates or (b) in connection with a sale of all or substantially all of its assets to which this Agreement relates, whether by merger, acquisition, asset sale, stock purchase, or otherwise, but in any event subject to Bioeq's ability to terminate this Agreement in accordance with Section 15.2.9 (for the avoidance of doubt, such termination right pursuant to Section 15.2.9 shall apply mutatis mutandis in case of assignment of the Agreement to a Competitor in all cases listed under subsection (b) above)",Anti-Assignment,high,Medium,False
"In the event that this Agreement is terminated by PPI in accordance with Section 16.1 or EKR in accordance with Section 16.3(b), EKR and its Affiliates, sub-distributors and sub-licensees shall be entitled to continue to sell",Post-Termination Services,high,Medium,False
"[***] hereby grants to  [***] a non-exclusive, non-transferable (except in connection with a permitted assignment, sublicense or subcontract) ""right of reference"" (as defined in 21 CFR 314.3(b)) with respect to [***] clinical trial data (including  [***]), information (including the  [***], as applicable) and results related to  [***], solely as necessary for [***] to prepare, submit and maintain regulatory submissions related to [***] and Regulatory Approvals for [***].",Non-Transferable License,high,Medium,False
"If we terminate this Agreement based on your default, or if you abandon or otherwise cease to operate the Franchised Business, in addition to all other amounts due to us under this Agreement, you agree to pay to us, as liquidated damages, an amount calculated as follows: (a) the average of your monthly Royalty Fees that are due under this Agreement for the twelve (12) months immediately before your abandonment or our delivery of the notice of default (or, if you have been operating for less than 12 months, the average of your monthly Royalty Fees for the number of months you have operated the Franchised Business); (b) multiplied by the lesser of 36 or the number of months remaining in the then-current term of this Agreement under Section 2.",Liquidated Damages,high,Medium,False
"Each party shall have the right to assign its rights,",Anti-Assignment,high,Medium,False
Subject to Clause 11.6. SEV will indemnify and keep DCL indemnified in full against all Liabilities arising directly or indirectly  in connection with:     11.5.1 any Employment Costs arising in relation to the Contracted Period in relation to the Employees;,Cap On Liability,high,Medium,False
Any attempted  assignment in violation of this section shall be void.,Anti-Assignment,high,Medium,False
Telnet's sole and exclusive remedies concerning Galaxy's performance or non-performance in any matter related to this Agreement or the provisioning of the Services or Products are limited to those expressly stated in this Agreement.,Cap On Liability,high,Medium,False
"For the avoidance of doubt, this restricted annual audit shall not apply to for-cause audits, which may be conducted at any time.",Audit Rights,high,Medium,False
"Except as otherwise provided in this Agreement, including under Section 7.1, neither this Agreement nor any of the rights, interests or obligations of any Party under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise, by either Party without the prior written consent of the other Party; provided, however, that (a) either Party may assign any of the foregoing in connection with the sale or other transfer of the applicable business or assets of such Party or its Affiliates to which this Agreement relates (except that neither of the Buyer Entities may assign any such rights, interests or obligations with respect to the Arizona Licensed Trademarks); (b) Arizona may assign any of the foregoing to one or more of its Affiliates and (c) the Company and Buyer may assign any of the foregoing to one or more of its Subsidiaries, controlled Affiliates, AWP, or any holding company that is a direct or indirect parent of the Company; provided that in each case (b) and (c), no assignment shall relieve the assigning Party of any of its obligations under this Agreement unless agreed to by the non-assigning Party. Any assignment or other disposition in violation of the preceding sentence shall be void.",Anti-Assignment,high,Medium,False
This Agreement may not be assigned by either party            ---------- without the prior written consent of the other party.,Anti-Assignment,high,Medium,False
This Agreement will also terminate automatically in the event of its assignment (as defined in the 1940 Act).,Anti-Assignment,high,Medium,False
"Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.",Expiration Date,high,Medium,False
"Pursuant to the DA, and subject to its terms, ARGO agreed to appoint YEC as the exclusive distributor of its products in the Territory specified therein, and YEC agreed to market and distribute Argo's products in a professional manner",Exclusivity,high,Medium,False
17.1.3. Induce any person to leave his or her employment with us.,No-Solicit Of Employees,high,Medium,False
"ANY THEORY OF LIABILITY (WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY OR OTHERWISE). THE LIMITATIONS SET FORTH IN THIS SECTION WILL APPLY EVEN IF A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.",Uncapped Liability,high,High,True
"Notwithstanding anything herein to the contrary, Network Affiliate shall not be  prohibited from: (i) promoting the grand opening of a Theatre or an Excluded Theatre, provided such promotional activity (x) may occur only for  the thirty (30) day period immediately preceding the opening of the theatre to the general public through the thirty (30) day period immediately  following the opening of the theatre to the general public, and (y) includes local advertising of such opening in exchange for the advertising of  local businesses only, provided any on-screen advertising related thereto shall be subject to availability of on-screen Inventory and limited to one  (1) advertisement thirty (30) seconds in length; and (ii) allowing advertising for the supplier of Network Affiliate employee uniforms to appear on  such uniforms, provided that not more than two individual instances of such advertising ,may appear on any such uniform at any one time.",Volume Restriction,high,Medium,False
"Neither this Agreement nor any rights or obligations hereunder shall be assignable by a Party without the prior written consent of the other Party, provided that either Party shall have the right, on notice to but without the other Party's consent, to assign this Agreement and its rights and obligations contained herein, to an affiliate or to a third party who is not a competitor of the other Party in connection with a sale of all or substantially all of the assigning Party's business or assets relating to this Agreement.",Anti-Assignment,high,Medium,False
"obligations of the Remarketing Agents may be terminated by them by notice given to the Company prior to 12:00 noon, New York City time on the Remarketing Settlement Date if, prior to that time, any of the applicable conditions precedent to the obligations of the Remarketing Agents described in Section 5 hereof shall have failed to occur.",Expiration Date,high,Medium,False
"However, the Company will have the right to dispose of its inventory of Products existing at the time of termination or expiration of this Agreement and the right to use the name, likeness, image and personal identification of the Professional in connection with the disposition of such inventory.",Post-Termination Services,high,Medium,False
"The Joint Venture shall commence on the 1st of      March, 2003, and shall be effective until February 28, 2004 unless extended      by written agreement of the Joint Venturers not less than thirty (30) days      prior to scheduled termination.",Expiration Date,high,Medium,False
"Without limiting the foregoing, Distributor will have the exclusive right and responsibility in the Field in the Territory for the following:

(i) designing the Commercialization strategy and tactics for the Product, subject to JSC approval of the Commercialization Plan;

(ii) undertaking all promotional activities for the Product;",Exclusivity,high,Medium,False
"Except as otherwise provided in this Section 17.5, neither Party shall assign this Agreement or any rights, benefits or obligations under or relating to this Agreement, in each case whether by operation of law or otherwise, without the other Party's prior written consent (not to be unreasonably withheld, conditioned or delayed).",Anti-Assignment,high,Medium,False
"Company shall not, during the period of this Agreement, or any time thereafter, challenge Association's exclusive ownership or registration of Association's Marks, including any and all moral rights.",Covenant Not To Sue,high,Medium,False
"and provided, further, however, that in no event shall the liability for indemnity of any SMBC Unit-Holder under this Section 13.9(b) exceed the dollar amount of the proceeds (net of any underwriting discount or commission or other selling expenses) received by such SMBC Unit-Holder from the sale of the Registrable Securities giving rise to such indemnification.",Cap On Liability,high,Medium,False
"On termination of the provision of the Services by                     HealthGate to the Publishers for whatever reason, HealthGate                     shall at the Publishers' option:

                          (i) grant to the Publishers a non-exclusive                     non-transferable licence to use the Proprietary Software for                     the purposes of using, developing, enhancing and maintaining                     the Site and carrying out any or all of the activities                     previously carried out by HealthGate or on its behalf under                     this Agreement

                          (ii) exercise best endeavours to grant to the                     Publishers a non-exclusive non-transferable licence to use                     the Third Party Software for the Site when and to the extent                     requested by the Publishers.",License Grant,high,Medium,False
University hereby grants to ArTara an exclusive Right of Reference to all Program Regulatory Filings by University in support of the Product.,Exclusivity,high,Medium,False
"IGER hereby grants CERES under IGER'S interest in any JOINT INTELLECTUAL PROPERTY and OTHER RESEARCH RESULTS, the IGER  INTELLECTUAL PROPERTY set forth in ANNEX I, and the IGER BACKGROUND INTELLECTUAL PROPERTY set forth in ANNEX I:

  (a)   the exclusive right and license to produce COMMERCIAL PROPAGULES of the LICENSED VARIETY in the TERRITORY, including  intermediate propagation material; and",Exclusivity,high,Medium,False
"Notwithstanding anything to the contrary in Attachments A, G or H, in connection with any Change in Circumstances (as defined below), and without limiting Seller's/ExxonMobil Selling Affiliate's other rights under this Agreement or applicable law, Seller/ExxonMobil Selling Affiliates shall have the right: (i) only if required to enable Seller/ExxonMobil Selling Affiliate to comply with applicable laws and regulations, to terminate this Agreement and accelerate all amounts due from Buyer hereunder, making them immediately payable (ii) to modify the payment terms hereunder; and/or (iii) to require that Buyer/Buyer Affiliates pay in advance for shipments hereunder.",Change Of Control,high,Medium,False
The following acts constitute Class D breaches.,Non-Compete,high,Medium,False
Network  1  shall  have the exclusive right of first refusal to purchase all  or  any part of the revenue due Affiliate or acquire Affiliate (as the case may  be)  on the same terms and conditions as the Bona Fide Offer.,Rofr/Rofo/Rofn,high,Medium,False
"VerticalNet hereby grants Neoforma an exclusive license, even as to",Exclusivity,high,Medium,False
"Dynamic Hearing's aggregate liability to IntriCon for direct loss and damages and all other liability not described herein  arising in connection with this Agreement whether in negligence, tort, equity, contract or otherwise, is limited to  payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity must not exceed) $5m;",Cap On Liability,high,Medium,False
"Subject to Section 2.4  [APPROVAL OF TRADEMARK USAGE], Sponsor hereby grants Snap a non-exclusive, revocable nontransferable, royalty-free, worldwide license to: (a) use, reproduce, publish, perform and display the Sponsor Marks and Sponsor Brand Features on the Co-Branded Pages; (b) link to the Sponsor Web Site from the Co-Branded Pages and/or the Snap Web Site that contains the Co-Branded Pages and (c) use, reproduce, publish, perform, and display the",License Grant,high,Medium,False
"Upon expiration of this Agreement, the licenses granted to Ono under Section 2.1 shall become non-exclusive, fully paid- up, irrevocable, perpetual, royalty free licenses, with sublicensing rights, to Develop, Manufacture, and/or Commercialize the Products in the Ono Territory.",License Grant,high,Medium,False
"Subject to the terms and conditions of this Agreement, SpinCo hereby grants to each individual member of the Parent Group, on behalf of itself and the other members of the SpinCo Group, and shall cause the other members of the SpinCo Group to grant to each individual member of the Parent Group, a non-exclusive, worldwide, perpetual, irrevocable, fully paid-up, royalty-free right and license, for use in the Parent Field, to (i) use, reproduce, distribute, display, perform, make Improvements and exploit the Licensed SpinCo IP, and (ii) make, have made, use, sell, offer to sell and import any goods and services incorporating, embodying or utilizing the Licensed SpinCo IP.",License Grant,high,Medium,False
for any reason on at least ninety (90) days written notice to the other party.,Termination For Convenience,high,Medium,False
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,high,Medium,False
"Commercial General Liability Insurance. Occurrence based coverage with a combined single limit of at least $10,000,000 per occurrence and in the aggregate for premises and operations; products and completed operations; contractual liability coverage for indemnities of a Party contained within this Agreement; broad form property damage (including completed operations); explosion, collapse and underground hazards; and personal injury. Requires additional insured endorsement and waiver of subrogation endorsement.",Insurance,high,Medium,False
"uch fee shall be paid after only the first to occur of either a Liquidation Event or an Initial Public Offering. The respective fees, when and if payable, shall be paid upon closing; except that if there are additional contingent amounts (""Trailing Consideration"") payable upon the occurrence of subsequent events, then the Trailing Consideration shall be due and payable to JHU within thirty (30) days after receipt thereof by COMPANY.",Change Of Control,high,Medium,False
"The Agent hereby grants to Monsanto, during the term of this Agreement, a non-exclusive, royalty-free, non- transferable and non-assignable license (without the right to",License Grant,high,Medium,False
"Except pursuant to Section 16.9 or in connection with the use of Third Party Sales Representatives, King shall not assign, subcontract or otherwise transfer or delegate any of its rights or obligations under this Agreement without the express written consent of Depomed, which consent may be withheld by Depomed in its sole discretion.",Anti-Assignment,high,Medium,False
"The Distributor shall not sub-license, transfer or otherwise deal with the rights of use of the Trade Marks granted under this agreement.",Anti-Assignment,high,Medium,False
"Customer may elect to terminate this Agreement for any reason upon six months written notice to Metavante, provided Customer shall pay Metavante the ""Termination Fee"" defined and computed in accordance with the table below.",Termination For Convenience,high,Medium,False
"American International Group, Inc.",Parties,low,Low,True
"Any marketing  exclusivity set forth in the Agreement Summary shall not preclude or prevent (a) signage, advertising and promotional arrangements made by the Office of the Commissioner of Baseball with respect to nationally-televised games, All-Star Games, World Baseball Classic games, playoff games and World Series games, (b) licensing arrangements made by Major League Baseball Properties, Inc. with respect to such category, (c) advertising with respect to such category in game programs, yearbooks, scorecards and similar publications which are sold on the day of an event other than Padres home games, (d) the display before, during and after an event of displays, temporary in nature, erected by an event sponsor, promoter, broadcaster or participant, even though such display may constitute advertising with respect to such category, (e) promotional messages displayed on a scoreboard or video board which give the name of the sponsor of Ballpark day-of-event promotions at events other than Padres home games or promote sale of event-day programs (including identifying program sponsors), even though such messages may identify companies in such category and (f) promotional messages displayed on a scoreboard or video board that recognize groups in attendance and make similar incidental references, even though such messages may identify companies in such category.",Competitive Restriction Exception,low,Medium,False
Energis Communications Limited,Parties,low,Low,True
This Agreement and the performance of,Governing Law,low,Medium,False
"Premier Nutrition Company, LLC",Parties,low,Low,True
"The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.",Renewal Term,low,Medium,False
"The ""Initial Term"" shall commence upon the Effective Date and shall expire on March 31, 2011.",Expiration Date,low,Low,True
"THAYER EQUITY INVESTORS IV, L.P.",Parties,low,Low,True
"MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.",Parties,low,Medium,False
"HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.",Parties,low,Medium,False
EFFECTIVE DATE     means 18 May 2000;,Effective Date,low,Low,True
"This Agreement, the legal relations between the parties, and any action, whether contractual or non-contractual, instituted by any party with respect to matters arising under or growing out of or in connection with or in respect of this Agreement shall be governed by and construed in accordance with the internal laws of the State of Arizona (U.S.A.), excluding any choice of law rules that may direct the application of the laws of another jurisdiction, and except that questions affecting the construction and effect of any Patent shall be determined by the law of the country in which the Patent has been granted.",Governing Law,low,Medium,False
TECHNOLOGY OUTSOURCING AGREEMENT,Document Name,low,Medium,False
"Effective Dates: September 1, 2006, August 31, 2007",Effective Date,low,Low,True
Collaborative Development and Commercialization Agreement,Document Name,low,Medium,False
"""Arizona Licensed Patents"" means the Patents set forth on Schedule 1.1(l) and all other Patents owned by Licensing or Seller or their respective Affiliates as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Patents).",Affiliate License-Licensor,low,Medium,False
The license granted to the Licensee under this Agreement shall continue perpetually,Expiration Date,low,High,False
"Columbia Laboratories, (Bermuda) Ltd.",Parties,low,Medium,False
"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".",Parties,low,Low,True
"The parties' rights and obligations hereunder shall be construed and enforced under the laws of the State of Texas, U.S.A., without regard to conflict of laws principles. Incoterms 2010 (or any subsequent revision thereof) (""Incoterms"") shall also apply; provided, however, that Incoterms shall apply only to the extent specified in the agreement hereof, and provided, further, that in the event of a conflict between Incoterms and the laws of the State of Texas, U.S.A., the latter shall govern.",Governing Law,low,Medium,False
"D-Beta One Growth and Opportunity Fund Offshore, LP",Parties,low,Medium,False
"(each a ""Party"" and together the ""Parties"").",Parties,low,Low,True
Princor Financial Services Corporation,Parties,low,Low,True
"individually and collectively the Joint Venture Participants ""JVP""",Parties,low,Medium,False
"Shipper and Transporter may be referred to herein individually as a ""Party"" or collectively as the ""Parties"".",Parties,low,Low,True
"This Agreement shall be governed by and construed under the laws of the State of California, excluding conflict of laws provisions and excluding the 1980 United Nations Convention on Contracts for the International Sale of Goods.",Governing Law,low,Medium,False
"This Agreement shall be governed and construed in accordance with the laws of the State of Delaware, without reference to the conflicts of laws principles thereunder.",Governing Law,low,Low,True
This Agreement is governed by the laws of England and Wales.,Governing Law,low,Low,True
"HARVEST SMALL CAP PARTNERS, L.P.",Parties,low,Low,True
"Subject to the terms and conditions of this Agreement, during the Term, Ginkgo hereby grants and shall grant to BLI:

9.2.1 a [***] and this Section 9.2 (Grants to BLI)), [***] license in, to and under any Intellectual Property (a) Controlled by Ginkgo, (b) used by Ginkgo in the conduct of a Workflow Development Plan and (c) necessary for BLI to perform its obligations under this Agreement ((a)-(c) collectively, ""Ginkgo Licensed IP""), solely to perform BLI's obligations under such Workflow Development Plan; and",License Grant,low,Medium,False
"(c) the licenses granted to Ginkgo from BLI in Section 9.1.1 (Scope of Grants) and 9.1.2 (License Grant to Exploit [***]) shall survive and become perpetual, irrevocable and, subject to clause (f) of this Section 13.3.2, royalty-free;",Irrevocable Or Perpetual License,low,Medium,False
"For the avoidance of doubt, that certain logo designed by Athlete prior to the date hereof (the ""Logo"") shall remain the sole property of Wade and Naked shall have license during the Term to use the Logo for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory in accordance with the terms and conditions of the Agreement",License Grant,low,Medium,False
"SutroVax and Sutro may be referred to herein by name or individually, as a ""Party"" and collectively, as the ""Parties.""",Parties,low,Low,True
"""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"".",Parties,low,Low,True
"This Agreement shall be governed by, construed and interpreted in accordance with the laws of the State of New York, without regard to principles of conflicts of law.",Governing Law,low,Low,True
"This Agreement shall be deemed to have been entered into in the State of New Jersey, and shall be construed and interpreted in accordance with the laws of that State applicable to agreements made and to be performed in the State of New Jersey.",Governing Law,low,Medium,False
"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.",Expiration Date,low,Medium,False
"This Agreement shall be governed by and construed in accordance with the laws of the Arizona, without regard to the conflict of laws provisions thereof.",Governing Law,low,Low,True
"""Offtake Agreement"" means that certain Crude Oil Sale and Purchase Agreement between the Principal and STASCO dated 1 November 1999.",Expiration Date,low,Low,True
This Amendment shall be governed by and construed under the law governing the Distributor Agreement.,Governing Law,low,Low,True
TURN - KEY MANUFACTURING AGREEMENT,Document Name,low,Medium,False
"This Agreement shall be in full force and effect commencing on January 2, 2020 and shall remain in effect for one (1) year or until Consultant completes the services requested",Expiration Date,low,Medium,False
"ESPACIO INFORMATION TECHNOLOGY, SA.",Parties,low,Low,True
"This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada, USA in force therein without regard to its conflict of law rules.",Governing Law,low,Low,True
Emerald Health Nutraceuticals Inc.,Parties,low,Low,True
"Concert Global Network Services, Ltd.",Parties,low,Low,True
"each a Party and, together, the Parties.",Parties,low,Low,True
"Legacy Education Alliance Holdings, Inc.",Parties,low,Low,True
This Agreement shall be effective as of the date set forth above in this Agreement.,Effective Date,low,Low,True
Associated Natural Gas Company,Parties,low,Low,True
"THIS SPONSORSHIP AGREEMENT (""Agreement"") is entered into and effective as of the date first written above (""Effective Date"") by  and among PEEK Investments LLC, a Delaware limited liability company (""Purchaser""), and each other party hereto identified on the signature  page(s) hereto (each, a ""Sponsor"").",Effective Date,low,Low,True
"With respect to any Indemnified Party who is not a party to this Agreement, the Agents shall obtain and hold the rights and benefits of this Section 11 in trust for and on behalf of such Indemnified Party.",Third Party Beneficiary,low,Medium,False
"doing business as Network Associates, Inc.,",Parties,low,Low,True
"Marathon Partners Equity Management, LLC",Parties,low,Low,True
"ScanSource Latin America, Inc.",Parties,low,Low,True
NVOS and HGF may renew the Agreement within two (2) years of the expiry of the initial term upon mutual understanding.,Renewal Term,low,Medium,False
Tribute Pharmaceuticals Canada Inc,Parties,low,Low,True
"""Rio Royal"", and together with MG Capital and Percy Rockdale, the ""MG Capital Parties""",Parties,low,Medium,False
"the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):",Parties,low,Medium,False
The grant of each license hereunder includes the right to grant sublicenses to Related Companies for so long as it remains a Related Companies,Affiliate License-Licensee,low,Medium,False
STARTEC GLOBAL COMMUNICATIONS CORPORATION,Parties,low,Low,True
AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT,Document Name,low,Medium,False
"THIS AGREEMENT SHALL BE GOVERNED IN ALL RESPECTS, INCLUDING WITHOUT LIMITATION VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE APPLICABLE TO CONTRACTS EXECUTED AND TO BE PERFORMED WHOLLY WITHIN SUCH STATE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.",Governing Law,low,Medium,False
Layer 2 Communications Group Ltd.,Parties,low,Low,True
"National Football League Alumni, Inc",Parties,low,Medium,False
"During the term hereof and for a period of five (5) years thereafter, each Party agrees not to, either directly or indirectly, for itself or on behalf of any other person, firm, partnership, corporation or other entity hire, solicit, contract for, attempt to solicit, or cause to be solicited, the employment or services of any current or previous employee of the other Party (unless a period of sixty months has elapsed from the last date that such employee was employed by such party) without the prior written consent of such other Party.",Competitive Restriction Exception,low,Medium,False
"The Company shall pay HDI thirty percent (3016) of the Net Sales in excess of Eleven Thousand Dollars ($11,000) per calendar month.",Revenue/Profit Sharing,medium,Medium,True
"Any and all claims and actions arising out of or relating to this Agreement, the relationship of you and us, or your operation of the Franchised Business, brought by any party hereto against the other, shall be commenced within two (2) years from the occurrence of the facts giving rise to such claim or action, or such claim or action shall be barred.",Cap On Liability,medium,Medium,True
